epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3794,1.35395,3.73463,1.35887,0.00282,0.75,0.40854,0.38343,0.78285,3.84434,1.09133,3.75e-05,3.75e-05,3.75e-05
2,13.0964,1.31601,3.65354,1.26403,0.00291,0.75,0.44805,0.38384,0.88843,3.87001,1.0904,8.57675e-05,8.57675e-05,8.57675e-05
3,15.7498,1.10771,3.41482,1.14162,0.003,0.75,0.44253,0.36676,0.91447,3.841,1.07379,0.000132055,0.000132055,0.000132055
4,18.0272,1.04279,3.34416,1.0689,0.00365,0.75,0.4725,0.39336,1.00512,3.80134,1.0243,0.000176362,0.000176362,0.000176362
5,20.4645,1.07238,3.22369,1.06346,0.00409,0.75,0.55542,0.45709,0.90058,3.7584,0.97754,0.00021869,0.00021869,0.00021869
6,22.8624,1.07861,3.06557,1.07962,0.00479,0.75,0.62317,0.56006,0.75459,3.70839,0.93387,0.000259038,0.000259038,0.000259038
7,24.9971,1.03841,2.75767,1.16115,0.00479,0.75,0.62317,0.56006,0.75459,3.70839,0.93387,0.000297405,0.000297405,0.000297405
8,27.1861,1.06062,2.59592,1.17796,0.00575,0.75,0.61202,0.56424,0.6872,3.66873,0.93084,0.000333792,0.000333792,0.000333792
9,29.382,1.13212,2.44357,1.19285,0.00609,0.75,0.67958,0.63882,0.67349,3.61817,0.95153,0.0003682,0.0003682,0.0003682
10,31.9838,0.98422,2.53088,1.10243,0.00609,0.75,0.67958,0.63882,0.67349,3.61817,0.95153,0.000400628,0.000400628,0.000400628
11,34.8548,1.06443,2.06372,1.09879,0.00612,0.75,0.74625,0.69637,0.68333,3.50749,0.96212,0.000431075,0.000431075,0.000431075
12,37.1718,1.00517,2.03367,1.11655,0.00612,0.75,0.74625,0.69637,0.68333,3.50749,0.96212,0.000459543,0.000459543,0.000459543
13,40.8241,0.86706,1.90062,1.05644,0.00574,0.75,0.74625,0.67348,0.74926,3.36002,0.98297,0.00048603,0.00048603,0.00048603
14,43.2937,0.95958,1.67782,1.02072,0.00574,0.75,0.74625,0.67348,0.74926,3.36002,0.98297,0.000510537,0.000510537,0.000510537
15,46.9271,0.91707,1.96375,1.07237,1,0.20102,0.79476,0.67016,0.91305,3.03477,1.07142,0.000533065,0.000533065,0.000533065
16,49.8306,0.98262,1.61876,1.05992,1,0.20102,0.79476,0.67016,0.91305,3.03477,1.07142,0.000553613,0.000553613,0.000553613
17,52.0284,0.89048,1.5809,1.03393,1,0.20102,0.79476,0.67016,0.91305,3.03477,1.07142,0.00057218,0.00057218,0.00057218
18,55.9683,0.84355,1.69371,1.03998,0.9716,0.65941,0.93103,0.76677,0.81351,2.65414,1.03425,0.000588767,0.000588767,0.000588767
19,58.5006,0.88491,1.44568,1.02799,0.9716,0.65941,0.93103,0.76677,0.81351,2.65414,1.03425,0.000603375,0.000603375,0.000603375
20,60.9945,0.88853,1.60436,1.1208,0.9716,0.65941,0.93103,0.76677,0.81351,2.65414,1.03425,0.000616003,0.000616003,0.000616003
21,63.006,0.81042,1.54996,1.0546,0.9716,0.65941,0.93103,0.76677,0.81351,2.65414,1.03425,0.00062665,0.00062665,0.00062665
22,67.1327,0.85684,1.37621,1.01536,0.91829,0.75,0.93281,0.80571,0.74944,2.34926,0.98444,0.000635318,0.000635318,0.000635318
23,69.3809,0.888,1.33107,1.06704,0.91829,0.75,0.93281,0.80571,0.74944,2.34926,0.98444,0.000642005,0.000642005,0.000642005
24,71.5381,0.8626,1.41938,1.04818,0.91829,0.75,0.93281,0.80571,0.74944,2.34926,0.98444,0.000646713,0.000646713,0.000646713
25,74.0845,0.87031,1.43484,1.02659,0.91829,0.75,0.93281,0.80571,0.74944,2.34926,0.98444,0.00064944,0.00064944,0.00064944
26,78.0313,0.83392,1.44136,1.05385,0.964,0.75,0.93281,0.81177,0.67687,1.92444,0.94521,0.00063125,0.00063125,0.00063125
27,80.0715,0.85986,1.44223,0.99933,0.964,0.75,0.93281,0.81177,0.67687,1.92444,0.94521,0.0006065,0.0006065,0.0006065
28,82.3242,0.76845,1.25245,0.98641,0.964,0.75,0.93281,0.81177,0.67687,1.92444,0.94521,0.00058175,0.00058175,0.00058175
29,84.3173,0.70882,1.38634,0.98012,0.964,0.75,0.93281,0.81177,0.67687,1.92444,0.94521,0.000557,0.000557,0.000557
30,88.0599,0.72131,1.19523,0.93486,0.88461,0.9734,0.995,0.89344,0.62897,1.48593,0.91683,0.00053225,0.00053225,0.00053225
31,90.326,0.8036,1.17368,1.01177,0.88461,0.9734,0.995,0.89344,0.62897,1.48593,0.91683,0.0005075,0.0005075,0.0005075
32,92.9289,0.93749,1.54911,1.02039,0.88461,0.9734,0.995,0.89344,0.62897,1.48593,0.91683,0.00048275,0.00048275,0.00048275
33,95.4512,0.84245,1.3053,1.05199,0.88461,0.9734,0.995,0.89344,0.62897,1.48593,0.91683,0.000458,0.000458,0.000458
34,100.511,0.8829,1.21235,0.96656,0.90534,0.99583,0.995,0.87291,0.71255,1.24793,0.95276,0.00043325,0.00043325,0.00043325
35,103.176,0.78789,1.26139,1.04127,0.90534,0.99583,0.995,0.87291,0.71255,1.24793,0.95276,0.0004085,0.0004085,0.0004085
36,105.911,0.7625,1.12109,0.98398,0.90534,0.99583,0.995,0.87291,0.71255,1.24793,0.95276,0.00038375,0.00038375,0.00038375
37,108.861,0.89229,1.30421,1.02345,0.90534,0.99583,0.995,0.87291,0.71255,1.24793,0.95276,0.000359,0.000359,0.000359
38,114.645,0.73748,1.17754,1.01185,0.93302,0.99924,0.995,0.86908,0.66676,1.11458,0.92986,0.00033425,0.00033425,0.00033425
39,117.813,0.8348,1.7226,1.06934,0.93302,0.99924,0.995,0.86908,0.66676,1.11458,0.92986,0.0003095,0.0003095,0.0003095
40,120.343,0.93236,1.49895,1.10336,0.93302,0.99924,0.995,0.86908,0.66676,1.11458,0.92986,0.00028475,0.00028475,0.00028475
41,122.785,0.71498,1.31949,0.96649,0.93302,0.99924,0.995,0.86908,0.66676,1.11458,0.92986,0.00026,0.00026,0.00026
42,129.218,0.67007,1.2847,0.91613,0.94618,1,0.995,0.88387,0.62442,1.05268,0.91285,0.00023525,0.00023525,0.00023525
43,131.891,0.62241,1.37152,0.89426,0.94618,1,0.995,0.88387,0.62442,1.05268,0.91285,0.0002105,0.0002105,0.0002105
44,135.017,0.6854,1.25693,0.94935,0.94618,1,0.995,0.88387,0.62442,1.05268,0.91285,0.00018575,0.00018575,0.00018575
45,137.494,0.74024,1.3988,0.97497,0.94618,1,0.995,0.88387,0.62442,1.05268,0.91285,0.000161,0.000161,0.000161
46,144.386,0.65386,1.35968,0.93745,0.96012,1,0.995,0.89326,0.60268,1.03597,0.90442,0.00013625,0.00013625,0.00013625
47,147.534,0.62981,1.24054,0.93819,0.96012,1,0.995,0.89326,0.60268,1.03597,0.90442,0.0001115,0.0001115,0.0001115
48,150.534,0.73909,1.28633,0.91803,0.96012,1,0.995,0.89326,0.60268,1.03597,0.90442,8.675e-05,8.675e-05,8.675e-05
49,153.032,0.61201,1.26366,0.90995,0.96012,1,0.995,0.89326,0.60268,1.03597,0.90442,6.2e-05,6.2e-05,6.2e-05
50,159.285,0.6072,1.22944,0.92259,0.96784,0.99876,0.995,0.89106,0.60096,1.03135,0.90344,3.725e-05,3.725e-05,3.725e-05
